gname,nkill
Kuki tribesmen,58.0
Lebanese National Resistance Front,58.0
Abkhazian Separatists,58.0
Anti-Muslim extremists,58.0
Jama'atul Mujahideen Bangladesh (JMB),58.0
Okba Ibn Nafaa Brigade,57.0
Maute Group,57.0
Shan State Progressive Party,56.0
Agwelek Forces,56.0
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),56.0
Southern Front,56.0
Black Widows,55.0
Argentine Anticommunist Alliance (AAA),55.0
Mozambique Liberation Front (FRELIMO),54.0
Popular Movement for the Liberation of Angola,54.0
Baloch Liberation Tigers (BLT),54.0
Hasam Movement,53.0
Democratic Karen Buddhist Army (DKBA),53.0
Right Sector,52.0
Purbo Banglar Communist Party,50.0
Popular Mobilization Forces (Iraq),50.0
Tuareg Guerrillas,50.0
Neo-Nazi extremists,50.0
Bhinderanwale Tiger Force of Khalistan (BTHK),50.0
Kurds,49.0
Hutus Former Soldiers,49.0
Rebel Armed Forces of Guatemala (FAR),49.0
Sudan Liberation Movement,49.0
Al-Qaida in Yemen,49.0
Paraguayan People's Army (EPP),48.0
Cambodian People's Party (CPP),48.0
Jamiat ul-Mujahedin (JuM),47.0
Official Irish Republican Army (OIRA),47.0
People's Revolutionary Army (ERP) (El Salvador),47.0
Red Flag (Venezuela),47.0
Jaish al-Fatah (Syria),47.0
Bangladesh Sarbahara Party,47.0
Military Command Council for the Salvation of the Republic (CCSMR),46.0
Movement of the Revolutionary Left (MIR) (Chile),45.0
Ansar al-Tawhid,45.0
Kosovo Liberation Army (KLA),45.0
Sipah-I-Mohammed,45.0
Self-Defense Group of Imghad Tuaregs and Allies (GATIA),45.0
Salafia Jihadia,45.0
Bougainville Revolutionary Army (BRA),45.0
Nyatura Militia,45.0
Revolutionary Christians of the Cedars,44.0
Uganda Freedom Movement (UFM),44.0
Khaled Ibn al-Walid Army,44.0
Supporters of Pascal Lissouba,44.0
Hizbul al Islam (Somalia),44.0
Death to Kidnappers (MAS),43.0
Militia Members,43.0
Hindu extremists,43.0
Coup plotters,43.0
Angola Rebels,43.0
Gurkha National Liberation Front (GNLF),43.0
Croatian Nationalists,43.0
Koglweogo,43.0
Banyamulenge rebels,43.0
Individuals Tending Toward Savagery,43.0
Afghans,43.0
Iran-backed militia,43.0
Benghazi Defense Brigades (BDB),43.0
Hurras al-Din,42.0
Thai Islamic Militants,42.0
Baloch Raji Ajoi Sangar (BRAS),42.0
Croatian Militia,41.0
Baloch Nationalists,41.0
February 28 Popular League (El Salvador),41.0
Tunisian Armed Resistance,41.0
Tehrik-e-Taliban Islami (TTI),41.0
Quintin Lame,41.0
Anti-Immigrant extremists,41.0
Sabaot tribesmen,40.0
Liwa al-Haqq,40.0
Harkat ul Ansar,40.0
Popular Front for the Liberation of the Sahara,40.0
Al-Ummah,39.0
Revolutionary Front for Hatian Advancement and Progress (FRAPH),39.0
Counter-revolutionaries,39.0
Sudan Alliance Forces,39.0
Kuki Tribal Militants,39.0
Popular Revolutionary Bloc (BPR),39.0
Convention of Patriots for Justice and Peace,39.0
Tajamo Ansar al-Islam,39.0
Takfir wal-Hijra (Excommunication and Exodus),39.0
Kurdish Rebels,38.0
Commandos for A Popular alternative,38.0
Tamil Eelam Liberation Organization (TELO),38.0
Peasant Militants,37.0
Movement of Niger People for Justice (MNJ),37.0
Unidentified Infiltrators,37.0
Liberation and Justice Movement (LJM),36.0
Kachin Insurgents,36.0
National Liberation Front (FNL) (Burundi),36.0
East Asia Division of the Islamic State,36.0
Georgian Militants,36.0
Mukhtar Army,35.0
Armed People,35.0
Serbian guerrillas,35.0
Incel extremists,35.0
Modakeke Ethnic Activists,35.0
Albanian extremists,35.0
Lendu militia,35.0
Colonel Karuna Faction,35.0
Mujahidin Indonesia Timur (MIT),34.0
Pattani United Liberation Organization (PULO),34.0
Kokang,34.0
Real Irish Republican Army (RIRA),34.0
People's Liberation Organization of Tamil Eelam,34.0
Justice Commandos for the Armenian Genocide,34.0
Pakistan Province of the Islamic State,33.0
SYS,33.0
Black Brigade,33.0
Dima Halao Daoga (DHD),32.0
Eritrean Liberation Front,32.0
Al-Umar Mujahideen,32.0
Patriotic Resistance Front in Ituri (FRPI),32.0
Jihadist Soldiers,32.0
Coordination of Azawad Movements (CMA),32.0
Black Hand (Colombia),32.0
Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),32.0
Saharan Revolutionary Armed Front (FARS),32.0
Afghan Guerrillas,32.0
Sudanese People's Liberation Forces,32.0
Ansarul Islam (Pakistan),32.0
Arab Liberation of Al-Ahvaz,32.0
Revolutionary Armed Forces (FAR),31.0
Morazanist Front for the Liberation of Honduras (FMLH),31.0
Sudan Liberation Army-Minni Minawi (SLA-MM),31.0
Mohajir National Movement,31.0
Supreme Council for Islamic Revolution in Iraq (SCIRI),31.0
Somali National Movement,31.0
Japanese Red Army (JRA),31.0
Southern Resistance Forces (SRF),31.0
Jund al-Sahabah Group,31.0
Jamaat-ul-Ahrar,31.0
Egyptian Islamic Jihad (Al-Jihad),30.0
Angels,30.0
Aisha Umm-al Mouemeneen (Brigades of Aisha),30.0
Pokot extremists,30.0
Anti-government rioters,30.0
Bachama extremists,30.0
Bandits,30.0
Allied Democratic Forces of Guinea (RDFG),30.0
Baloch Young Tigers (BYT),29.0
Nduma Defense of Congo (NDC),29.0
Secessionists,29.0
Balochistan Liberation United Front (BLUF),29.0
United National Liberation Front (UNLF),29.0
Islamic Movement of Uzbekistan (IMU),28.0
Sudan Revolutionary Front (SRF),28.0
Lashkar-e-Omar,28.0
Ugandan People's Democratic Army,28.0
Devrimici Halk Kurtulus Cephesi (DHKP/C),28.0
Congolese Liberation Party (PLC),28.0
Tarok Militia,28.0
Renamo Military Junta,28.0
Zimbabwe African Nationalist Union (ZANU),28.0
Pirates,27.0
Arab Socialist Baath Party of Iraq,27.0
Sabaot Land Defense Force (SLDF),27.0
Awami League,27.0
Syrian Democratic Forces (SDF),27.0
Maskini Liberation Front,27.0
Great Eastern Islamic Raiders Front (IBDA-C),27.0
Turkish People's Liberation Front (TPLF)(THKP-C),27.0
Afghan Rebels,27.0
Phalange,27.0
Black Nationalists,27.0
Insurgents,27.0
United Jihad Council,27.0
Raia Mutomboki Militia,26.0
Rohingya extremists,26.0
National Council for Revival and Democracy (CNRD),26.0
Togolese Dissidents,26.0
November 17 Revolutionary Organization (N17RO),26.0
Syrian Social Nationalist Party,26.0
Patriotic Ginbot 7 Movement for Unity and Democracy (PGMUD),26.0
Mombasa Republican Council (MRC),26.0
Hijaz Province of the Islamic State,26.0
Ahlu-sunah Wal-jamea (Somalia),26.0
People's Army (Myanmar),25.0
Kamtapur Liberation Organization (KLO),25.0
Popular Resistance Front (FPR),25.0
Algerian Moslem Fundamentalists,25.0
Revolutionary Liberation Cells,25.0
Lorenzo Zelaya Revolutionary Front (LZRF),25.0
Eastern Turkistan Islamic Movement (ETIM),25.0
Anti-Semitic extremists,24.0
Iraqi Mujahideen,24.0
Nuer White Army,24.0
Flying Eagles (Vigilante Group),24.0
Amal,24.0
Macina Liberation Front (FLM),24.0
Male supremacists,24.0
Tiv Militia,24.0
Marxists,24.0
Mizo National Front,24.0
Army of the Tribes,24.0
Republican Action Force,24.0
Armed Vanguards of a Second Mohammed Army,24.0
Lahij Province of the Islamic State,23.0
Al-Ittihaad al-Islami (AIAI),23.0
Popular Revolutionary Army (Mexico),23.0
Chechen Lone Wolf Group,23.0
Supporters of Joshua Nkomo,23.0
Baathist extremists,23.0
Tepi Youth,23.0
Venezuela Cartel,23.0
Al-Shuda Brigade,23.0
Front for the Liberation of the Enclave of Cabinda (FLEC),23.0
Union of Congolese Patriots (UPC),23.0
Khalid ibn Walid,23.0
Army of Islam,23.0
Iraqi extremists,23.0
Armenian militants,23.0
East Timorese extremists,23.0
Jammu and Kashmir Islamic Front,22.0
National Movement of Revolutionaries (MNR),22.0
Egbesu Youths of the Bayelsa,22.0
Movement for the Salvation of Azawad (MSA),22.0
Jaljala Army,22.0
Jundul Khilafah (Philippines),22.0
Sinhalese Insurgents,22.0
Left-wing extremists,22.0
Death to Rustlers,21.0
Rastas,21.0
Ugandan Rebels,21.0
Union of Patriots for the Defense of Innocents (UPDI),21.0
Black Order,21.0
Red Sea Afar Democratic Organization (RSADO),21.0
The Front for the Liberation of the Cabinda Enclave - Renewed (FLEC),21.0
Ambazonia Defense Forces (ADF),21.0
Kyini ya kilima,21.0
Aum Shinri Kyo,21.0
Wrath of Olives,21.0
Al-Zintan Revolutionaries' Military Council,21.0
Ansar Allah,21.0
Zulu Militants,21.0
Jund al-Aqsa,21.0
United Front for Democracy Against Dictatorship,21.0
Kanglei Yawol Kanna Lup (KYKL),21.0
North Korean involvement commandos,21.0
Gbagbo Loyalists,21.0
Civil Defense Force (CDF),21.0
National Socialist Civic Workers Movement,21.0
Shamiya Front,20.0
Communist Party of India- Marxist-Leninist,20.0
Al-Qaida Kurdish Battalions (AQKB),20.0
South Sudan Liberation Army (SSLA),20.0
Anti-Israeli extremists,20.0
Bashir al-Baqarah militia,20.0
Mai Mai Bakata Katanga Militia,20.0
Colonel Albert Kahasha Militia,20.0
Revolutionaries Army (Jaysh al-Thowwar),20.0
Free and Democratic Society of Eastern Kurdistan (KODAR),20.0
Brunswijk Jungle Commando,20.0
Black Liberation Army,19.0
Lesotho Liberation Army (LLA),19.0
Kotoko Tribal Group,19.0
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),19.0
Ngumino militia,19.0
Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),19.0
Niger Delta Vigilante (NDV),19.0
Democratic Front for Renewal (FDR),19.0
Medellin Drug Cartel,19.0
Al-Yakin Mujahidin,19.0
Saudi Hezbollah,19.0
Turkish People's Liberation Army,19.0
Anti-Terrorist Liberation Group (GAL),19.0
United People's Democratic Front (UPDF) - Bangladesh,19.0
Black Hand,19.0
The Resistance Front (TRF),19.0
United Popular Action Movement,19.0
Turkish Communist Party/Marxist (TKP-ML),19.0
Opponents of disabled people,19.0
Kanak Separatists,18.0
Tamil Makkal Viduthalai Pulikal (TMVP),18.0
Union Guerrera Blanca (UGB),18.0
Kurdish Democratic Party-Iran (KDP),18.0
Neo-Fascist extremists,18.0
Egyptian Tawhid and Jihad,18.0
Committee for a National Drive for Peace and Democracy,18.0
Alfaro Vive,18.0
Burma Communist Party,18.0
Kuki Revolutionary Army (KRA),18.0
Salvadoran Guerrillas,18.0
Popular Movement for the Liberation of Cabinda,18.0
Right-Wing Group,18.0
Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC),18.0
Arya,18.0
White Legion (Georgia),18.0
Armed Forces of National Resistance (FARN),18.0
Eritrean Salvation Front (ESF),17.0
Forqan Group,17.0
Al-Zulfikar,17.0
Union of Chadian Forces (UFNT),17.0
Ambazonia Restoration Forces (ARF),17.0
Anti-Government Group,17.0
National Liberation Army (NLA) (Macedonia),17.0
National Front for the Salvation of Libya,17.0
Maximiliano Hernandez Martinez Brigade,17.0
Ansar al-Sharia (Tunisia),17.0
Black Flag (Bandera Negra),17.0
United People's Democratic Solidarity (UPDS),17.0
Pro-Russia Militia,17.0
Black Muslims,17.0
Kabul Government Agents,17.0
Armenian nationalists,17.0
Popular Resistance Committees,17.0
Mafia,17.0
Grozny Jamaat,17.0
Jukun militia,16.0
Indigenous People of Biafra (IPOB),16.0
Derna Protection Force (DPF),16.0
Anti-Police extremists,16.0
Black Panther Group (Palestinian),16.0
Shan United Revolutionary Army,16.0
Cleansing Squad,16.0
Ansar al-Islam (Egypt),16.0
Imam Shamil Battalion,16.0
Prima Linea,16.0
Irish People's Liberation Organization (IPLO),16.0
Red Army Faction (RAF),16.0
Movement for the Actualization of the Sovereign State of Biafra (MASSOB),16.0
Aleppo Fatah Operations Room,15.0
Aristide supporters,15.0
New Order,15.0
Anti-feminist extremists,15.0
Congolese Armed Patriotic Group,15.0
United Achik Liberation Army (UALA),15.0
Diyala Salvation Council,15.0
Islamic Front,15.0
Shinwari Tribe,15.0
Zebra killers,15.0
Kamajor Hunters,15.0
Opposition Group,15.0
Abkhazian guerrillas,15.0
Karbi People's Liberation Tigers (KPLT),15.0
Tayeb Al-Afghani's Islamist Group,15.0
Berom Militants,15.0
Ansarullah Bangla Team,15.0
Zimbabwe Patriotic Front,15.0
1920 Revolution Brigades,15.0
Islamic Movement for Change,15.0
Ansar al-Sharia (Pakistan),15.0
Karbi National Volunteers (KNV),15.0
Karenni National Progressive Party,15.0
Nyandan militia,14.0
Al Bayda Province of the Islamic State,14.0
Bangladesh Nationalist Party (BNP),14.0
Anti-White extremists,14.0
Janatantrik Terai Mukti Morcha- Goit (JTMM-G),14.0
Islamic Legion,14.0
Bloque Anti-Guerrillero de Oriente (BAGO),14.0
Hamawand Tribe,14.0
South Moluccans,14.0
Punjabi Taliban,14.0
Shabwah Province of the Islamic State,14.0
NVF,14.0
Political Activists,14.0
The Joint Revolutionary Council,14.0
United Front for Nigeria's Liberation (UFNL),14.0
Wehrsportgruppe Hoffmann,13.0
Jabal al-Islam Brigade,13.0
Free Libya Martyrs Brigade,13.0
Zeliangrong United Front,13.0
Guatemalan Communist Party,13.0
Mong Thai Army (MTA),13.0
Dagestani Shari'ah Jamaat,13.0
Sindhu Desh Liberation Army (SDLA),13.0
Benishangul Gumuz People's Liberation Movement,13.0
Arab Separatists,13.0
Ansar Al-Khilafa (Philippines),13.0
Zaire Self-Defense Group,13.0
United Popular Action Front (FAPU),13.0
Zairian Dissidents,13.0
Palestine Liberation Front (PLF),13.0
Corsican National Liberation Front (FLNC),13.0
Miskito Indian Organization,13.0
Drug-Related Terrorists,13.0
Somozists,13.0
Rival Activists,13.0
Hauso Ethnic Group,13.0
Baader-Meinhof Group,12.0
Azania People's Organization (AZAPO),12.0
Laskar Jihad,12.0
Terai Army,12.0
National Liberation Front (NLF-Syria),12.0
Qaddafi loyalists,12.0
Intelligence Force of Oku,12.0
Ombatse Cult,12.0
Pakistani trained terrorists,12.0
U/I Snipers,12.0
Foibe tribe,12.0
Afghan Mujahideen,12.0
Abu Abbas Brigade,12.0
Abu Amarah Battalion,12.0
Jihadi Movement of the Sunna People of Iran,12.0
Faqra Tribal Group,12.0
Timorese guerrillas,12.0
Al-Qaida in the Indian Subcontinent,12.0
Free Nasserite Revolutionaries,12.0
Tehrik-e-Nafaz-e-Shariat-e-Mohammadi (TNSM),12.0
Organization for the oppresed in Egypt's Prisons,11.0
Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R),11.0
Communist Party of Nepal - Maoist (CPN-Maoist-Chand),11.0
Sudanese Rebels,11.0
Balochistan National Army,11.0
Ajnad Misr,11.0
People's Committee against Police Atrocities (PCPA),11.0
Republican Forces of Burundi (FOREBU),11.0
Rival caste,11.0
Saraya al-Jihad Fi Bilad al-Sham,11.0
Rwenzururu Rebels,11.0
Concerned Militant Leaders (CML),11.0
Guatemalan Labor Party (PGT),11.0
